State,UnemploymentRate
Alabama,7.30
Alaska,7.00
Arizona,8.30
Arkansas,7.30
California,10.50
Colorado,8.00
Connecticut,8.40
Delaware,7.10
District of Columbia,8.90
Florida,8.60
Georgia,9.00
Hawaii,5.80
Idaho,7.10
Illinois,8.90
Indiana,8.40
Iowa,5.20
Kansas,5.70
Kentucky,8.20
Louisiana,6.40
Maine,7.30
Maryland,6.80
Massachusetts,6.70
Michigan,9.10
Minnesota,5.60
Mississippi,9.20
Missouri,6.90
Montana,6.00
Nebraska,3.90
Nevada,11.10
New Hampshire,5.50
New Jersey,9.50
New Mexico,6.90
New York,8.50
North Carolina,9.50
North Dakota,3.10
Ohio,7.20
Oklahoma,5.20
Oregon,8.70
Pennsylvania,7.90
Rhode Island,10.40
South Carolina,9.10
South Dakota,4.40
Tennessee,8.00
Texas,6.80
Utah,5.70
Vermont,5.00
Virginia,5.90
Washington,8.20
West Virginia,7.30
Wisconsin,6.90
Wyoming,5.40
